2021,2019,2015,2013,2010,2009,2008,2007,2005,2004
"(IV) “Greenhouse gas neutral”, with respect to electricity generated using biomass or by a coal mine methane or synthetic gas facility, means that the greenhouse gases emitted into the atmosphere as a result of the process of converting the fuel source to electricity do not exceed the greenhouse gases that would have been emitted into the atmosphere over the next five years, beginning with the commencement of the process or initial date of operation of the facility, if the fuel source had not been converted to electricity, where greenhouse gases are measured in terms of carbon dioxide equivalent.","(IV) “Greenhouse gas neutral”, with respect to electricity generated by a coal mine methane or synthetic gas facility, means that the volume of greenhouse gases emitted into the atmosphere from the conversion of fuel to electricity is no greater than the volume of greenhouse gases that would have been emitted into the atmosphere over the next five years, beginning with the planned date of operation of the facility, if the fuel had not been converted to electricity, where greenhouse gases are measured in terms of carbon dioxide equivalent.","(IV) “Greenhouse gas neutral”, with respect to electricity generated by a coal mine methane or synthetic gas facility, means that the volume of greenhouse gases emitted into the atmosphere from the conversion of fuel to electricity is no greater than the volume of greenhouse gases that would have been emitted into the atmosphere over the next five years, beginning with the planned date of operation of the facility, if the fuel had not been converted to electricity, where greenhouse gases are measured in terms of carbon dioxide equivalent.","(IV) “Greenhouse gas neutral”, with respect to electricity generated by a coal mine methane or synthetic gas facility, means that the volume of greenhouse gases emitted into the atmosphere from the conversion of fuel to electricity is no greater than the volume of greenhouse gases that would have been emitted into the atmosphere over the next five years, beginning with the planned date of operation of the facility, if the fuel had not been converted to electricity, where greenhouse gases are measured in terms of carbon dioxide equivalent.",,,,,,
(IV.5) “Off-site” means located on noncontiguous property owned or leased by a customer of a qualifying retail utility.,,,,,,,,,
(V) “Pyrolysis” means the thermochemical decomposition of material at elevated temperatures without the participation of oxygen.,(V) “Pyrolysis” means the thermochemical decomposition of material at elevated temperatures without the participation of oxygen.,(V) “Pyrolysis” means the thermochemical decomposition of material at elevated temperatures without the participation of oxygen.,(V) “Pyrolysis” means the thermochemical decomposition of material at elevated temperatures without the participation of oxygen.,,,,,,
(VI),(VI),(VI),(VI),,,,,,
(A) “Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that either converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel or is pumped hydroelectricity generation that does not combust fossil fuel to pump water; is not located on a natural waterway; includes measures to prevent fish mortality in the facility; does not impact any decreed in-stream flow; and does not cause any violation of state water quality standards when operated.,“Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,“Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,“Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,(III) “Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,(II) “Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,(II) “Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,(II) “Recycled energy” means energy produced by a generation unit with a nameplate capacity of not more than fifteen megawatts that converts the otherwise lost energy from the heat from exhaust stacks or pipes to electricity and does not combust additional fossil fuel,,
"(B) Subject to subsection (1)(a)(VI)(A) of this section, “recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.","“recycled energy” does not include energy produced by any system that uses energy, lost or otherwise, from a process whose primary purpose is the generation of electricity, including, without limitation, any process involving engine-driven generation or pumped hydroelectricity generation.",,
"(VII) “Renewable energy resources” means solar, wind, geothermal, biomass that is greenhouse gas neutral, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less and that does not require the construction of any new dams or reservoirs. Notwithstanding any other provision of this subsection (1)(a)(VII), a biomass electric generation facility that was in existence on or before January 1, 2021, or that has a nameplate rating of ten megawatts or less, shall be considered a renewable energy resource.","(VII) “Renewable energy resources” means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less","(VII) “Renewable energy resources” means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less","(VII) “Renewable energy resources” means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less","(IV) “Renewable energy resources” means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less",,,,,
"(VII.5) “Renewable energy storage” means an energy storage system, as defined in section 40-2-130 (2)(a), that stores energy produced only by renewable energy resources.",,,,,,,,,
"(VIII) Except as provided in subsection (1)(c)(II)(D) of this section with respect to cooperative electric associations, “retail distributed generation” means a renewable energy resource or renewable energy storage that is located on any property owned or leased by the customer within the service territory of the qualifying retail utility and is interconnected on the customer’s side of the utility meter. In addition, retail distributed generation shall provide electric energy primarily to serve the customer’s loads and shall be sized to supply no more than two hundred percent of the reasonably expected average annual total consumption of electricity at all properties owned or leased by the customer within the utility’s service territory.","(VIII) “retail distributed generation” means a renewable energy resource that is located on the site of a customer’s facilities and is interconnected on the customer’s side of the utility meter. In addition, retail distributed generation shall provide electric energy primarily to serve the customer’s load and shall be sized to supply no more than one hundred percent of the average annual consumption of electricity by the customer at that site. For purposes of this subparagraph (VIII), the customer’s “site” includes all contiguous property owned or leased by the customer without regard to interruptions in contiguity caused by easements, public thoroughfares, transportation rights-of-way, or utility rights-of-way.","(VIII) “retail distributed generation” means a renewable energy resource that is located on the site of a customer’s facilities and is interconnected on the customer’s side of the utility meter. In addition, retail distributed generation shall provide electric energy primarily to serve the customer’s load and shall be sized to supply no more than one hundred percent of the average annual consumption of electricity by the customer at that site. For purposes of this subparagraph (VIII), the customer’s “site” includes all contiguous property owned or leased by the customer without regard to interruptions in contiguity caused by easements, public thoroughfares, transportation rights-of-way, or utility rights-of-way.","(VIII) “retail distributed generation” means a renewable energy resource that is located on the site of a customer’s facilities and is interconnected on the customer’s side of the utility meter. In addition, retail distributed generation shall provide electric energy primarily to serve the customer’s load and shall be sized to supply no more than one hundred percent of the average annual consumption of electricity by the customer at that site. For purposes of this subparagraph (VIII), the customer’s “site” includes all contiguous property owned or leased by the customer without regard to interruptions in contiguity caused by easements, public thoroughfares, transportation rights-of-way, or utility rights-of-way.","(V) “retail distributed generation” means a renewable energy resource that is located on the site of a customer’s facilities and is interconnected on the customer’s side of the utility meter. In addition, retail distributed generation shall provide electric energy primarily to serve the customer’s load and shall be sized to supply no more than one hundred percent of the average annual consumption of electricity by the customer at that site. For purposes of this subparagraph (V), the customer’s “site” includes all contiguous property owned or leased by the customer without regard to interruptions in contiguity caused by easements, public thoroughfares, transportation rights-of-way, or utility rights-of-way.",,,,,
(IX) “Wholesale distributed generation” means a renewable energy resource with a nameplate rating of thirty megawatts or less and that does not qualify as retail distributed generation.,(IX) “Wholesale distributed generation” means a renewable energy resource with a nameplate rating of thirty megawatts or less and that does not qualify as retail distributed generation.,(IX) “Wholesale distributed generation” means a renewable energy resource with a nameplate rating of thirty megawatts or less and that does not qualify as retail distributed generation.,(IX) “Wholesale distributed generation” means a renewable energy resource with a nameplate rating of thirty megawatts or less and that does not qualify as retail distributed generation.,(VI) “Wholesale distributed generation” means a renewable energy resource in Colorado with a nameplate rating of thirty megawatts or less and that does not qualify as retail distributed generation.,,,,,
"(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible renewable energy resources to ensure that the environmental impacts of such facilities are minimized.","(b) Standards for the design, placement, and management of electric generation technologies that use eligible renewable energy resources to ensure that the environmental impacts of such facilities are minimized."
(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards:,(c) Electric resource standards for renewable energy resources:,(c) Electric resource standard for renewable energy resources:
"(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible renewable energy resources in the following minimum amounts:","(I) Except as provided in subparagraph (V) of this paragraph (c), the electric resource standards shall require each qualifying retail utility to generate, or cause to be generated, electricity from eligible renewable energy resources in the following minimum amounts:"
(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the year 2007;,(A) Three percent of its retail electricity sales in Colorado for the years through 2010;,(A) Three percent of its retail electricity sales in Colorado for the years through 2010;
(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;,(B) Five percent of its retail electricity sales in Colorado for the years 2008 through 2010;
"(C) Twelve percent of its retail electricity sales in Colorado for the years 2011 through 2014, with distributed generation equaling at least one percent of its retail electricity sales in 2011 and 2012 and one and one-fourth percent of its retail electricity sales in 2013 and 2014;","(C) Twelve percent of its retail electricity sales in Colorado for the years 2011 through 2014, with distributed generation equaling at least one percent of its retail electricity sales in 2011 and 2012 and one and one-fourth percent of its retail electricity sales in 2013 and 2014;","(C) Twelve percent of its retail electricity sales in Colorado for the years 2011 through 2014, with distributed generation equaling at least one percent of its retail electricity sales in 2011 and 2012 and one and one-fourth percent of its retail electricity sales in 2013 and 2014;","(C) Twelve percent of its retail electricity sales in Colorado for the years 2011 through 2014, with distributed generation equaling at least one percent of its retail electricity sales in 2011 and 2012 and one and one-fourth percent of its retail electricity sales in 2013 and 2014;","(C) Twelve percent of its retail electricity sales in Colorado for the years 2011 through 2014, with distributed generation equaling at least one percent of its retail electricity sales in 2011 and 2012 and one and one-fourth percent of its retail electricity sales in 2013 and 2014;",(C) Ten percent of its retail electricity sales in Colorado for the years 2011 through 2014;,(C) Tenpercent of its retail electricity sales in Colorado for the years 2011 through 2014;,(C) Ten percent of its retail electricity sales in Colorado for the years 2011 through 2014;,(C) Six percent of its retail electricity sales in Colorado for the years 2011 through 2014;,(C) Six percent of its retail electricity sales in Colorado for the years 2011 through 2014;
