ID," P.A. 102-662, § 90-50, eff. Sept. 15, 2021."," P.A. 99-906, § 15, eff. June 1, 2017;","P.A. 97-824, § 5, eff. July 18, 2012;","P.A. 97-646, § 5, eff. Dec. 30, 2011","P.A. 97-616, § 10, eff. Oct. 26, 2011","P.A. 95-420, § 5, eff. Aug. 24, 2007",,,,,,,,,,,,,,,,,,
11,"(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.",,,,,,,,,,,,,,,,,,
12,"(d–5) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is provided based on hourly pricing or time-of-use rates in the following manner:","(d–5) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is provided based on hourly pricing in the following manner:","(d–5) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is provided based on hourly pricing in the following manner:",(d–5) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is provided based on hourly pricing in the following manner:,,,,,,,,,,,,,,,,,,,,
13,"(1) If the amount of electricity used by the customer during any hourly period or time-of-use period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer.","(1) If the amount of electricity used by the customer during any hourly period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer.","(1) If the amount of electricity used by the customer during any hourly period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer.","(1) If the amount of electricity used by the customer during any hourly period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer.",,,,,,,,,,,,,,,,,,,,
14,"(2) If the amount of electricity produced by a customer during any hourly period  or time-of-use period exceeds the amount of electricity used by the customer during that hourly period  or time-of-use period, the energy provider shall apply a credit for the net kilowatt-hours produced in such period. The credit shall consist of an energy credit and a delivery service credit. The energy credit shall be valued at the same price per kilowatt-hour as the electric service provider would charge for kilowatt-hour energy sales during that same hourly period  or time-of-use period. The delivery credit shall be equal to the net kilowatt-hours produced in such hourly period or time-of-use period times a credit that reflects all kilowatt-hour based charges in the customer's electric service rate, excluding energy charges.","(2) If the amount of electricity produced by a customer during any hourly period exceeds the amount of electricity used by the customer during that hourly period, the energy provider shall apply a credit for the net kilowatt-hours produced in such period. The credit shall consist of an energy credit and a delivery service credit. The energy credit shall be valued at the same price per kilowatt-hour as the electric service provider would charge for kilowatt-hour energy sales during that same hourly period. The delivery credit shall be equal to the net kilowatt-hours produced in such hourly period times a credit that reflects all kilowatt-hour based charges in the customer's electric service rate, excluding energy charges.","(2) If the amount of electricity produced by a customer during any hourly period exceeds the amount of electricity used by the customer during that hourly period, the energy provider shall apply a credit for the net kilowatt-hours produced in such period. The credit shall consist of an energy credit and a delivery service credit. The energy credit shall be valued at the same price per kilowatt-hour as the electric service provider would charge for kilowatt-hour energy sales during that same hourly period. The delivery credit shall be equal to the net kilowatt-hours produced in such hourly period times a credit that reflects all kilowatt-hour based charges in the customer's electric service rate, excluding energy charges.","(2) If the amount of electricity produced by a customer during any hourly period exceeds the amount of electricity used by the customer during that hourly period, the energy provider shall apply a credit for the net kilowatt-hours produced in such period. The credit shall consist of an energy credit and a delivery service credit. The energy credit shall be valued at the same price per kilowatt-hour as the electric service provider would charge for kilowatt-hour energy sales during that same hourly period. The delivery credit shall be equal to the net kilowatt-hours produced in such hourly period times a credit that reflects all kilowatt-hour based charges in the customer's electric service rate, excluding energy charges.",,,,,,,,,,,,,,,,,,,,
15,"(e) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing in the following manner:","(e) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing in the following manner:","(e) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing in the following manner:",(e) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing in the following manner:,(e) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing in the following manner:,,,,,,,,,,,,,,,,,,,
16,"(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e–5) of this Section. The customer shall remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of  electricity used by the customer.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e–5) of this Section. The customer shall remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of  electricity used by the customer.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e–5) of this Section. The customer shall remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e–5) of this Section, provided that the electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e–5) of this Section, provided that the electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.",,,,,,,,,,,,,,,,,,,
17,"(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit that reflects the kilowatt-hour based charges in the customer's electric service rate to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit that reflects the kilowatt-hour based charges in the customer's electric service rate to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit that reflects the kilowatt-hour based charges in the customer's electric service rate to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit that reflects the kilowatt-hour based charges in the customer's electric service rate to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit that reflects the kilowatt-hour based charges in the customer's electric service rate to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.",,,,,,,,,,,,,,,,,,,
18,"(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.","(3) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.",,,,,,,,,,,,,,,,,,,
19,"(e-5) An electricity provider shall provide electric service to eligible net customers  who utilize net metering at non-discriminatory rates that are identical, with respect to rate structure, retail rate components, and any monthly charges, to the rates that the customer would be charged if not a net metering customer. An electricity provider shall not charge net metering customers any fee or charge or require additional equipment, insurance, or any other requirements not specifically authorized by interconnection standards authorized by the Commission, unless the fee, charge, or other requirement would apply to other similarly situated customers who are not net metering customers. The customer will remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer. Subsections (c) through (e) of this Section shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth different prices, terms, and conditions for the provision of net metering service, including, but not limited to, the provision of the appropriate metering equipment for non-residential customers.","(e-5) An electricity provider shall provide electric service to eligible net customers  who utilize net metering at non-discriminatory rates that are identical, with respect to rate structure, retail rate components, and any monthly charges, to the rates that the customer would be charged if not a net metering customer. An electricity provider shall not charge net metering customers any fee or charge or require additional equipment, insurance, or any other requirements not specifically authorized by interconnection standards authorized by the Commission, unless the fee, charge, or other requirement would apply to other similarly situated customers who are not net metering customers. The customer will remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer. Subsections (c) through (e) of this Section shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth different prices, terms, and conditions for the provision of net metering service, including, but not limited to, the provision of the appropriate metering equipment for non-residential customers.","(e-5) An electricity provider shall provide electric service to eligible net customers  who utilize net metering at non-discriminatory rates that are identical, with respect to rate structure, retail rate components, and any monthly charges, to the rates that the customer would be charged if not a net metering customer. An electricity provider shall not charge net metering customers any fee or charge or require additional equipment, insurance, or any other requirements not specifically authorized by interconnection standards authorized by the Commission, unless the fee, charge, or other requirement would apply to other similarly situated customers who are not net metering customers. The customer will remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer. Subsections (c) through (e) of this Section shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth different prices, terms, and conditions for the provision of net metering service, including, but not limited to, the provision of the appropriate metering equipment for non-residential customers.","(e-5) An electricity provider shall provide electric service to eligible net customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric supply service is not provided based on hourly pricing who utilize net metering at non-discriminatory rates that are identical, with respect to rate structure, retail rate components, and any monthly charges, to the rates that the customer would be charged if not a net metering customer. An electricity provider shall not charge net metering customers any fee or charge or require additional equipment, insurance, or any other requirements not specifically authorized by interconnection standards authorized by the Commission, unless the fee, charge, or other requirement would apply to other similarly situated customers who are not net metering customers. The customer will remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer. Subsections (c) through (e) of this Section shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth different prices, terms, and conditions for the provision of net metering service, including, but not limited to, the provision of the appropriate metering equipment for non-residential customers.","(e-5) An electricity provider shall provide electric service to eligible net customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric supply service is not provided based on hourly pricing who utilize net metering at non-discriminatory rates that are identical, with respect to rate structure, retail rate components, and any monthly charges, to the rates that the customer would be charged if not a net metering customer. An electricity provider shall not charge net metering customers any fee or charge or require additional equipment, insurance, or any other requirements not specifically authorized by interconnection standards authorized by the Commission, unless the fee, charge, or other requirement would apply to other similarly situated customers who are not net metering customers. The customer will remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer. Subsections (c) through (e) of this Section shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth different prices, terms, and conditions for the provision of net metering service, including, but not limited to, the provision of the appropriate metering equipment for non-residential customers.","(e) An electricity provider shall provide to net metering customers electric service at non-discriminatory rates that are identical, with respect to rate structure, retail rate components, and any monthly charges, to the rates that the customer would be charged if not a net metering customer. An electricity provider shall not charge net metering customers any fee or charge or require additional equipment, insurance, or any other requirements not specifically authorized by interconnection standards authorized by the Commission, unless the fee, charge, or other requirement would apply to other similarly situated customers who are not net metering customers. The customer will remain responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the net amount of electricity used by the customer. Subsections (c) through (e) of this Section shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth different prices, terms, and conditions for the provision of net metering service, including, but not limited to, the provision of the appropriate metering equipment for non-residential customers.",,,,,,,,,,,,,,,,,,
20,"(f) Notwithstanding the requirements of subsections (c) through (e–5) of this Section, an electricity provider must require dual-channel metering for customers operating eligible renewable electrical generating facilities with a nameplate rating up to 2,000 kilowatts and to whom the provisions of neither subsection (d), (d-5), nor (e) of this Section apply. In such cases, electricity charges and credits shall be determined as follows:","(f) Notwithstanding the requirements of subsections (c) through (e–5) of this Section, an electricity provider must require dual-channel metering for customers operating eligible renewable electrical generating facilities with a nameplate rating up to 2,000 kilowatts and to whom the provisions of neither subsection (d), (d-5), nor (e) of this Section apply. In such cases, electricity charges and credits shall be determined as follows:","(f) Notwithstanding the requirements of subsections (c) through (e–5) of this Section, an electricity provider must require dual-channel metering for customers operating eligible renewable electrical generating facilities with a nameplate rating up to 2,000 kilowatts and to whom the provisions of neither subsection (d), (d-5), nor (e) of this Section apply. In such cases, electricity charges and credits shall be determined as follows:","(f) Notwithstanding the requirements of subsections (c) through (e–5) of this Section, an electricity provider must require dual-channel metering for customers operating eligible renewable electrical generating facilities with a nameplate rating up to 2,000 kilowatts and to whom the provisions of neither subsection (d), (d-5), nor (e) of this Section apply. In such cases, electricity charges and credits shall be determined as follows:","(f) Notwithstanding the requirements of subsections (c) through (e–5) of this Section, an electricity provider must require dual-channel metering for customers operating eligible renewable electrical generating facilities with a nameplate rating up to 2,000 kilowatts and to whom the provisions of neither subsection (d) nor (e) of this Section apply. In such cases, electricity charges and credits shall be determined as follows:","(f) Notwithstanding the requirements of subsections (c) through (e) of this Section, an electricity provider must require dual-channel metering for non-residential customers operating eligible renewable electrical generating facilities with a nameplate rating over 40 kilowatts and up to 2,000 kilowatts. In such cases, electricity charges and credits shall be determined as follows:",,,,,,,,,,,,,,,,,,
21,"(1) The electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.","(1) The electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.","(1) The electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.","(1) The electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.","(1) The electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.","(1) The electricity provider shall assess and the customer remains responsible for all taxes, fees, and utility delivery charges that would otherwise be applicable to the gross amount of kilowatt-hours supplied to the eligible customer by the electricity provider.",,,,,,,,,,,,,,,,,,
22,"(2) Each month that service is supplied by means of dual-channel metering, the electricity provider shall compensate the eligible customer for any excess kilowatt-hour credits at the electricity provider's avoided cost of electricity supply over the monthly period or as otherwise specified by the terms of a power-purchase agreement negotiated between the customer and electricity provider.","(2) Each month that service is supplied by means of dual-channel metering, the electricity provider shall compensate the eligible customer for any excess kilowatt-hour credits at the electricity provider's avoided cost of electricity supply over the monthly period or as otherwise specified by the terms of a power-purchase agreement negotiated between the customer and electricity provider.","(2) Each month that service is supplied by means of dual-channel metering, the electricity provider shall compensate the eligible customer for any excess kilowatt-hour credits at the electricity provider's avoided cost of electricity supply over the monthly period or as otherwise specified by the terms of a power-purchase agreement negotiated between the customer and electricity provider.","(2) Each month that service is supplied by means of dual-channel metering, the electricity provider shall compensate the eligible customer for any excess kilowatt-hour credits at the electricity provider's avoided cost of electricity supply over the monthly period or as otherwise specified by the terms of a power-purchase agreement negotiated between the customer and electricity provider.","(2) Each month that service is supplied by means of dual-channel metering, the electricity provider shall compensate the eligible customer for any excess kilowatt-hour credits at the electricity provider's avoided cost of electricity supply over the monthly period or as otherwise specified by the terms of a power-purchase agreement negotiated between the customer and electricity provider.","(2) Each month that service is supplied by means of dual-channel metering, the electricity provider shall compensate the eligible customer for any excess kilowatt-hour credits at the electricity provider's avoided cost of electricity supply over the monthly period or as otherwise specified by the terms of a power-purchase agreement negotiated between the customer and electricity provider.",,,,,,,,,,,,,,,,,,
23,"(3) For all eligible net metering customers taking service from an electricity provider under contracts or tariffs employing hourly or  time-of-use rates, any monthly consumption of electricity shall be calculated according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer. When those same customer-generators are net generators during any discrete hourly or time-of-use period, the net kilowatt-hours produced shall be valued at the same price per kilowatt-hour as the electric service provider would charge for retail kilowatt-hour sales during that same time-of-use period.","(3) For all eligible net metering customers taking service from an electricity provider under contracts or tariffs employing hourly or time of use rates, any monthly consumption of electricity shall be calculated according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer. When those same customer-generators are net generators during any discrete hourly or  time of use period, the net kilowatt-hours produced shall be valued at the same price per kilowatt-hour as the electric service provider would charge for retail kilowatt-hour sales during that same time of use period.","(3) For all eligible net metering customers taking service from an electricity provider under contracts or tariffs employing time of use rates, any monthly consumption of electricity shall be calculated according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer. When those same customer-generators are net generators during any discrete time of use period, the net kilowatt-hours produced shall be valued at the same price per kilowatt-hour as the electric service provider would charge for retail kilowatt-hour sales during that same time of use period.","(3) For all eligible net metering customers taking service from an electricity provider under contracts or tariffs employing time of use rates, any monthly consumption of electricity shall be calculated according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer. When those same customer-generators are net generators during any discrete time of use period, the net kilowatt-hours produced shall be valued at the same price per kilowatt-hour as the electric service provider would charge for retail kilowatt-hour sales during that same time of use period.","(3) For all eligible net metering customers taking service from an electricity provider under contracts or tariffs employing time of use rates, any monthly consumption of electricity shall be calculated according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer. When those same customer-generators are net generators during any discrete time of use period, the net kilowatt-hours produced shall be valued at the same price per kilowatt-hour as the electric service provider would charge for retail kilowatt-hour sales during that same time of use period.","(3) For all eligible net metering customers taking service from an electricity provider under contracts or tariffs employing time of use rates, any monthly consumption of electricity shall be calculated according to the terms of the contract or tariff to which the same customer would be assigned to or be eligible for if the customer was not a net metering customer. When those same customer-generators are net generators during any discrete time of use period, the net kilowatt-hours produced shall be valued at the same price per kilowatt-hour as the electric service provider would charge for retail kilowatt-hour sales during that same time of use period.",,,,,,,,,,,,,,,,,,
24,"(g) For purposes of federal and State laws providing renewable energy credits or greenhouse gas credits, the eligible customer shall be treated as owning and having title to the renewable energy attributes, renewable energy credits, and greenhouse gas emission credits related to any electricity produced by the qualified generating unit. The electricity provider may not condition participation in a net metering program on the signing over of a customer's renewable energy credits; provided, however, this subsection (g) shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth the ownership or title of the credits.","(g) For purposes of federal and State laws providing renewable energy credits or greenhouse gas credits, the eligible customer shall be treated as owning and having title to the renewable energy attributes, renewable energy credits, and greenhouse gas emission credits related to any electricity produced by the qualified generating unit. The electricity provider may not condition participation in a net metering program on the signing over of a customer's renewable energy credits; provided, however, this subsection (g) shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth the ownership or title of the credits.","(g) For purposes of federal and State laws providing renewable energy credits or greenhouse gas credits, the eligible customer shall be treated as owning and having title to the renewable energy attributes, renewable energy credits, and greenhouse gas emission credits related to any electricity produced by the qualified generating unit. The electricity provider may not condition participation in a net metering program on the signing over of a customer's renewable energy credits; provided, however, this subsection (g) shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth the ownership or title of the credits.","(g) For purposes of federal and State laws providing renewable energy credits or greenhouse gas credits, the eligible customer shall be treated as owning and having title to the renewable energy attributes, renewable energy credits, and greenhouse gas emission credits related to any electricity produced by the qualified generating unit. The electricity provider may not condition participation in a net metering program on the signing over of a customer's renewable energy credits; provided, however, this subsection (g) shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth the ownership or title of the credits.","(g) For purposes of federal and State laws providing renewable energy credits or greenhouse gas credits, the eligible customer shall be treated as owning and having title to the renewable energy attributes, renewable energy credits, and greenhouse gas emission credits related to any electricity produced by the qualified generating unit. The electricity provider may not condition participation in a net metering program on the signing over of a customer's renewable energy credits; provided, however, this subsection (g) shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth the ownership or title of the credits.","(g) For purposes of federal and State laws providing renewable energy credits or greenhouse gas credits, the eligible customer shall be treated as owning and having title to the renewable energy attributes, renewable energy credits, and greenhouse gas emission credits related to any electricity produced by the qualified generating unit. The electricity provider may not condition participation in a net metering program on the signing over of a customer's renewable energy credits; provided, however, this subsection (g) shall not be construed to prevent an arms-length agreement between an electricity provider and an eligible customer that sets forth the ownership or title of the credits.",,,,,,,,,,,,,,,,,,
25,"(h) Within 120 days after the effective date of this amendatory Act of the 95th General Assembly, the Commission shall establish standards for net metering and, if the Commission has not already acted on its own initiative, standards for the interconnection of eligible renewable generating equipment to the utility system. The interconnection standards shall address any procedural barriers, delays, and administrative costs associated with the interconnection of customer-generation while ensuring the safety and reliability of the units and the electric utility system. The Commission shall consider the Institute of Electrical and Electronics Engineers (IEEE) Standard 1547 and the issues of (i) reasonable and fair fees and costs, (ii) clear timelines for major milestones in the interconnection process, (iii) nondiscriminatory terms of agreement, and (iv) any best practices for interconnection of distributed generation.","(h) Within 120 days after the effective date of this amendatory Act of the 95th General Assembly, the Commission shall establish standards for net metering and, if the Commission has not already acted on its own initiative, standards for the interconnection of eligible renewable generating equipment to the utility system. The interconnection standards shall address any procedural barriers, delays, and administrative costs associated with the interconnection of customer-generation while ensuring the safety and reliability of the units and the electric utility system. The Commission shall consider the Institute of Electrical and Electronics Engineers (IEEE) Standard 1547 and the issues of (i) reasonable and fair fees and costs, (ii) clear timelines for major milestones in the interconnection process, (iii) nondiscriminatory terms of agreement, and (iv) any best practices for interconnection of distributed generation.","(h) Within 120 days after the effective date of this amendatory Act of the 95th General Assembly, the Commission shall establish standards for net metering and, if the Commission has not already acted on its own initiative, standards for the interconnection of eligible renewable generating equipment to the utility system. The interconnection standards shall address any procedural barriers, delays, and administrative costs associated with the interconnection of customer-generation while ensuring the safety and reliability of the units and the electric utility system. The Commission shall consider the Institute of Electrical and Electronics Engineers (IEEE) Standard 1547 and the issues of (i) reasonable and fair fees and costs, (ii) clear timelines for major milestones in the interconnection process, (iii) nondiscriminatory terms of agreement, and (iv) any best practices for interconnection of distributed generation.","(h) Within 120 days after the effective date of this amendatory Act of the 95th General Assembly, the Commission shall establish standards for net metering and, if the Commission has not already acted on its own initiative, standards for the interconnection of eligible renewable generating equipment to the utility system. The interconnection standards shall address any procedural barriers, delays, and administrative costs associated with the interconnection of customer-generation while ensuring the safety and reliability of the units and the electric utility system. The Commission shall consider the Institute of Electrical and Electronics Engineers (IEEE) Standard 1547 and the issues of (i) reasonable and fair fees and costs, (ii) clear timelines for major milestones in the interconnection process, (iii) nondiscriminatory terms of agreement, and (iv) any best practices for interconnection of distributed generation.","(h) Within 120 days after the effective date of this amendatory Act of the 95th General Assembly, the Commission shall establish standards for net metering and, if the Commission has not already acted on its own initiative, standards for the interconnection of eligible renewable generating equipment to the utility system. The interconnection standards shall address any procedural barriers, delays, and administrative costs associated with the interconnection of customer-generation while ensuring the safety and reliability of the units and the electric utility system. The Commission shall consider the Institute of Electrical and Electronics Engineers (IEEE) Standard 1547 and the issues of (i) reasonable and fair fees and costs, (ii) clear timelines for major milestones in the interconnection process, (iii) nondiscriminatory terms of agreement, and (iv) any best practices for interconnection of distributed generation.","(h) Within 120 days after the effective date of this amendatory Act of the 95th General Assembly, the Commission shall establish standards for net metering and, if the Commission has not already acted on its own initiative, standards for the interconnection of eligible renewable generating equipment to the utility system. The interconnection standards shall address any procedural barriers, delays, and administrative costs associated with the interconnection of customer-generation while ensuring the safety and reliability of the units and the electric utility system. The Commission shall consider the Institute of Electrical and Electronics Engineers (IEEE) Standard 1547 and the issues of (i) reasonable and fair fees and costs, (ii) clear timelines for major milestones in the interconnection process, (iii) nondiscriminatory terms of agreement, and (iv) any best practices for interconnection of distributed generation.",,,,,,,,,,,,,,,,,,
